reviewerID,asin,overall,reviewText
ADWH2E3TYI0Q1,B00CLF83J2,4.0,"while PT and PTB have continued to make a lot of music since his/there glory days, the vast majority of those releases would have to be classified as for fans -- and sometimes, just his most hardcore fans -- only.CAN DO breaks that chain, in a big way.  this is a very well-produced rock and roll album.  PT's guitar chops are on display, but in a way that's a little more mainstream and little less smoky bar brash.  his band sounds excellent, in particular his rhythm section.while occasionally cliche, PT's lyrics this time around express the feelings of someone who's experienced the abundance of life (the good and the not-so-good). he acknowledges the trajectory of his own career in a way that feels 100% real, even if he's not 100% happy about it.like the grizzled veteran lawyer in paul newman's The Verdict thirty years ago, Can Do proves he really still &#34;can do&#34; a fantastic album from start to finish -- except the excruciatingly painful remake of eurhythmics Here Comes The Rain.congratulations Pat Travers and band. if there is a tour supporting this record, don't miss it. &#34;****&#34;"
AXXTANF6EECIZ,B00CLF8400,4.0,"Matt Nathanson continues his library here with another inspired effort.  Love the tales of life in the Bay area, from the Girl in the Kink's Shirt to Earthquake Weather.  Matt's sound is as compelling as ever, he is energetic and engaging.  Found it interesting that there were 8 different composers credited on this album, amazing it comes together as seamlessly as it does.  Only mild complaint is that the length is somewhat short, 11 songs averaging under 4 minutes.  Would be nice to see Matt stretch a couple out as he does so well in concert.  On that note, if you ever get a chance to see Matt live, by all means go.  He's witty as the dickens, loves the audience, and puts on a hell of a show.  Can't wait to see him in St Louis 11/20/2013.  After attending the concert, love the album more than ever and some of the back stories on the songs are hilarious.  \"Girl In The Kinks' Shirt\" was a waitress the entire band was enamored with at a local SF diner. They changed the name of the band on her favorite shirt, thinking she'd never find out the song was about her, then a USA Today columnist who interviewed Matt went to the diner and asked the waitress how she liked the song......"
A2RSQCZ1TF1ZX0,B00CLF84BE,4.0,"This CD is like the soundtrack to some inspiring 80's movie where the protagonist overcomes the odds to win some race or the hand of a girl with big hair.  All of his music sounds like it is from 1987, but I mean that in a good way.  I have all the House of Lords CDs and this fits right in. I'll keep buying his CDs as long as he keeps recording new ones."
A74X2DM3XX7CG,B00CLOH240,4.0,"I was torn between giving this a 5 star or 4 star rating but i settled for 4 stars because I feel Kings of Leon's Mechanical bull was the best Rock album released in 2013. That said this a a great release especially a debut album very strong!Its different I cant compare there sound to anything else I listen to. British accents paired with punk rock looks and hair that is well also different. The music is really good there are lots of hit singles on this album Chocolate, Sex, the City, Girls, Settle down, and Robbers. But I know other song on the album could easily be a hit single. Start to finish this an album you can listen to with out skipping tracks granted there maybe some songs you repeat over and over again. The music is very catchy and synth pop oriented. I grabbed this part from a site because perfectly describes this albums style. &#34;Lyrically, The 1975 explore themes of discovery and novelty in the more specific context of sex, love, drugs, hope, death, and fear.&#34; This is just really good indie rock!"
A3ZHTOIZ3XPJK,B00CLUMEC4,5.0,Alabama is timeless and is always a great group to pisten to...young and old. This set is awesome and gets cranked up in my car.
A2CFLHF3I4JK61,B00CLUMEC4,5.0,This is agreat collection of albums. Alabama is my favorite country band and this collection shows why they are gfreat.
A673HB9RWN8JZ,B00CLVF2AO,5.0,"As a long-time subscriber at Houston Grand Opera, I've had the privilege of following Joyce DiDonato from her days as a Studio member to her present status as international superstar. I have heard her in Little Women, Resurrection, Barber of Seville, Cenerentola, Maria Stuarda, La Donna del Lago, and was fortunate to hear her in Dead Man Walking at a Sunday matinee that was Frederica Von Stade's farewell operatic performance. She has it all-- the technique, the stage presence, the vocal beauty, the perfect timing, but most importantly the ability to communicate. This collection will be treasured by her fans, but hopefully will also introduce her to many others. Her ability to shine in music from Handel to Heggie and her generosity as an artist--this is what makes her a superstar, and it is a thrill watching her career grow and hearing an amazing singer in her prime."
AP7UEUF6W98AW,B00CM9JIZ0,4.0,"this album is fantastic. i have been anxiously awaiting this since... well, promised land, frankly... i am a queensryche fan because of empire.(late to the game i know) heck, i became a (wannabe) audiophile because of empire. a good friend of mine turned me onto it back in the day swearing it would change the way i listen to music and he was right. to this day empire and promised land are two cd's i use as reference... (i actually really like hear in the now frontier, yes it's different and it took some getting used to, but i eventually just grew to appreciate it's progressive quality... but since then every album has been a major struggle to enjoy. the last one i actually liked some of quite a bit but i digress...)but FINALLY a queensryche album to cheer about!! my second favorite album of the year behind steven wilson's 'raven that refused to sing' which is itself a sonic masterpiece, having no dynamic  compression at all apparently. it made me ask 'why do we NEED mastering'? i have to wonder if guys like jimbo barton get frustrated after putting their expertise to a project, only to have some other dope wreck their work! this doesn't sound nearly as bad as the cd released this year by some other band calling themselves queensryche, but COME ON!i'd pay to buy this album again at a premium if someone would release a remaster... shoot. with scott rockenfield's penchant for creating sonic landscapes i'm surprised there's not a dvd-a 5.1 mix!  this album deserved to be a reference album!well done, (the REAL) QUEENSRYCHE! well done jimbo barton! tom baker...shame on you"
A1URYPVG5DLLZZ,B00CM9JIZ0,5.0,"From X2 to the end, the way it starts, the feeling, the depth, everything. This sounds like the Real Deal.Geoff Tate took the spirit, the feeling of the band and most importantly the fans.The 3 original members decided to fire him, yet he doesn't accept it and he still can't be classy about it. He made a quick album with no depth and remade the old classics horribly for what? All he gained was the hatred of the old fans.Now Todd is a classy, great guy, who fits with the name Queensryche. Just listen to \"A World Without\" you will know what I mean, it's just like Promised land.Buy it and support the real deal."
A35O6WBIAUKTGE,B00CM9JIZ0,5.0,Can't stop listening to this album. There are nine heavy metal anthems and two instrumental pieces. Great to see my heroes return. Who else could create songs like Open Road or In this light? I missed those type of songs for years. Can't wait for the next album. It's just the beginning of a new era for the band. From: a brazilian fan.
